TF	0.0	0.0
AATF	91.0	0.0
ABL1	95.0	0.0
ABT1	79.0	0.0
ABTB1	71.0	0.0
ADNP	122.0	600.0
AEBP1	42.0	0.0
AEBP2	76.0	8644.0
AES	5.0	0.0
AFF4	90.0	0.0
AGAP3	51.0	0.0
AHCTF1	97.0	0.0
AHR	72.0	0.0
AIP	100.0	0.0
AIRE	51.0	0.0
AKT1	47.0	0.0
ALX1	26.0	0.0
ALX3	33.0	0.0
ALX4	35.0	0.0
ALYREF	91.0	0.0
ANKRA2	97.0	0.0
ANKRD1	6.0	0.0
ANKRD22	0.0	0.0
ANKRD32	0.0	0.0
ANKRD33	12.0	0.0
ANKRD49	85.0	0.0
ANKRD54	68.0	0.0
ANKRD6	99.0	0.0
ANKRD7	1.0	0.0
ANKS1	75.0	0.0
ANKS3	92.0	0.0
APBB1	71.0	0.0
APBB2	99.0	0.0
APC	90.0	0.0
APEX1	87.0	0.0
AR	11.0	0.0
ARID1A	87.0	866.0
ARID1B	57.0	0.0
ARID3A	62.0	652.0
ARID3B	7.0	0.0
ARID4B	80.0	0.0
ARID5B	22.0	0.0
ARL6IP5	64.0	0.0
ARNT	90.0	0.0
ARNT2	61.0	0.0
ARNTL	77.0	0.0
ARNTL2	1.0	0.0
ARX	24.0	0.0
ASB1	69.0	0.0
ASB12	0.0	0.0
ASB15	87.0	0.0
ASB3	81.0	0.0
ASB4	18.0	0.0
ASB6	81.0	0.0
ASB9	1.0	0.0
ASCL1	44.0	56.0
ASCL2	57.0	0.0
ASCL3	5.0	0.0
ASH1L	4.0	0.0
ASH2L	89.0	0.0
ASXL1	103.0	0.0
ATF1	75.0	0.0
ATF2	86.0	0.0
ATF3	71.0	0.0
ATF4	95.0	0.0
ATF5	79.0	0.0
ATF6	78.0	0.0
ATF6B	71.0	0.0
ATF7	96.0	0.0
ATF7IP	77.0	155.0
ATM	74.0	0.0
ATOH1	70.0	0.0
AW146020	7.0	0.0
BACH1	75.0	0.0
BACH2	10.0	0.0
BARD1	73.0	0.0
BARHL1	72.0	0.0
BARX1	27.0	0.0
BARX2	75.0	0.0
BATF	7.0	0.0
BATF2	3.0	0.0
BATF3	38.0	0.0
BAZ1A	50.0	7.0
BAZ1B	87.0	7.0
BBC3	71.0	0.0
BCL11A	55.0	0.0
BCL11B	50.0	0.0
BCL3	42.0	0.0
BCL6	67.0	0.0
BCL6B	56.0	0.0
BCLAF1	87.0	0.0
BCOR	41.0	0.0
BDP1	74.0	0.0
BHLHA15	30.0	0.0
BHLHE40	55.0	0.0
BHLHE41	38.0	0.0
BIN1	48.0	0.0
BLZF1	59.0	0.0
BMI1	58.0	5.0
BMP4	43.0	0.0
BMP6	51.0	0.0
BRCA1	77.0	0.0
BRCA2	103.0	0.0
BRD7	76.0	0.0
BRDT	53.0	0.0
BRF1	92.0	0.0
BRIP1	79.0	0.0
BRPF1	101.0	0.0
BRPF3	80.0	0.0
BRWD1	99.0	0.0
BTAF1	87.0	12631.0
BTBD11	77.0	0.0
BTF3	80.0	0.0
BTG1	78.0	0.0
BTG2	76.0	0.0
BUB3	69.0	0.0
C80913	12.0	0.0
CALCOCO1	77.0	0.0
CARF	92.0	0.0
CBFA2T3	67.0	0.0
CBFB	79.0	0.0
CBX3	101.0	462.0
CBX4	51.0	0.0
