Gene1,Gene2,Type
g38,g1,+
g46,g1,+
g58,g1,+
g60,g1,+
g67,g1,+
g69,g1,+
g91,g1,+
g97,g1,+
g98,g1,+
g8,g2,+
g9,g2,+
g14,g2,+
g15,g2,+
g20,g2,+
g23,g2,-
g32,g2,+
g41,g2,+
g48,g2,-
g67,g2,+
g76,g2,+
g83,g2,+
g89,g2,+
g7,g3,+
g10,g3,+
g20,g3,+
g23,g3,+
g31,g3,+
g61,g3,+
g74,g3,+
g20,g4,+
g25,g4,+
g28,g4,+
g36,g4,+
g39,g4,+
g44,g4,+
g51,g4,+
g53,g4,+
g55,g4,+
g69,g4,+
g70,g4,+
g74,g4,+
g80,g4,+
g85,g4,+
g89,g4,+
g91,g4,+
g97,g4,+
g8,g5,+
g14,g5,+
g27,g5,+
g40,g5,+
g41,g5,+
g50,g5,+
g58,g5,+
g63,g5,+
g2,g6,+
g10,g6,+
g26,g6,+
g30,g6,+
g31,g6,+
g33,g6,-
g62,g6,+
g66,g6,+
g71,g6,+
g91,g6,+
g92,g6,-
g5,g7,-
g6,g7,+
g9,g7,-
g10,g7,+
g20,g7,+
g24,g7,+
g34,g7,+
g36,g7,+
g45,g7,+
g72,g7,+
g90,g7,+
g98,g7,+
g1,g8,+
g4,g8,+
g7,g8,+
g17,g8,-
g22,g8,+
g53,g8,+
g58,g8,+
g60,g8,-
g97,g8,+
g11,g9,+
g13,g9,+
g18,g9,+
g19,g9,+
g55,g9,+
g61,g9,+
g79,g9,+
g81,g9,-
g83,g9,+
g15,g10,+
g16,g10,+
g18,g10,+
g25,g10,+
g62,g10,+
g72,g10,-
g75,g10,+
g82,g10,+
g93,g10,+
g100,g10,+
g9,g11,+
g14,g11,+
g44,g11,+
g56,g11,+
g70,g11,+
g74,g11,+
g75,g11,+
g88,g11,+
g97,g11,+
g3,g12,+
g19,g12,+
g31,g12,+
g44,g12,+
g47,g12,-
g54,g12,+
g60,g12,+
g72,g12,+
g74,g12,+
g78,g12,+
g89,g12,+
g1,g13,+
