Gene1,Gene2,Type
g3,g1,+
g14,g1,+
g17,g1,+
g24,g1,+
g27,g1,+
g29,g1,-
g46,g1,+
g54,g1,+
g60,g1,+
g90,g1,+
g96,g1,+
g30,g2,+
g33,g2,+
g45,g2,+
g60,g2,+
g69,g2,+
g84,g2,+
g87,g2,+
g98,g2,+
g1,g3,+
g11,g3,+
g13,g3,-
g33,g3,+
g36,g3,+
g37,g3,+
g64,g3,+
g79,g3,+
g82,g3,+
g86,g3,+
g2,g4,+
g18,g4,+
g21,g4,+
g26,g4,+
g41,g4,+
g55,g4,+
g56,g4,-
g60,g4,+
g96,g4,-
g2,g5,-
g49,g5,+
g57,g5,+
g59,g5,+
g68,g5,+
g96,g5,+
g2,g6,+
g11,g6,+
g14,g6,+
g15,g6,+
g29,g6,+
g39,g6,+
g48,g6,+
g85,g6,+
g89,g6,+
g99,g6,+
g25,g7,+
g37,g7,+
g44,g7,+
g46,g7,+
g51,g7,+
g57,g7,+
g59,g7,+
g66,g7,+
g74,g7,-
g81,g7,+
g84,g7,+
g88,g7,+
g100,g7,+
g58,g8,-
g68,g8,+
g71,g8,-
g74,g8,+
g76,g8,+
g82,g8,+
g84,g8,+
g89,g8,-
g97,g8,+
g5,g9,+
g7,g9,+
g10,g9,+
g13,g9,+
g25,g9,+
g29,g9,+
g32,g9,+
g43,g9,+
g62,g9,+
g65,g9,+
g75,g9,+
g82,g9,+
g92,g9,-
g98,g9,+
g13,g10,+
g19,g10,-
g20,g10,+
g38,g10,-
g70,g10,+
g71,g10,+
g73,g10,+
g6,g11,+
g20,g11,+
g27,g11,-
g36,g11,+
g47,g11,+
g56,g11,+
g69,g11,+
g73,g11,-
g91,g11,+
g5,g12,+
g14,g12,+
g16,g12,+
g18,g12,+
g22,g12,+
g42,g12,+
g50,g12,+
g63,g12,+
g85,g12,+
g90,g12,+
g99,g12,+
g1,g13,+
g5,g13,+
g10,g13,+
g16,g13,+
g25,g13,+
g29,g13,+
g49,g13,+
g50,g13,+
g63,g13,+
g67,g13,+
g72,g13,+
g85,g13,+
g89,g13,+
g96,g13,-
g18,g14,-
g51,g14,+
g60,g14,+
g63,g14,+
g66,g14,+
g77,g14,+
g80,g14,+
g91,g14,-
g95,g14,+
g3,g15,+
g9,g15,+
g19,g15,+
g20,g15,+
g53,g15,-
g61,g15,+
g65,g15,+
g67,g15,+
g69,g15,+
g81,g15,+
g90,g15,+
g4,g16,+
g12,g16,+
g14,g16,-
g22,g16,+
g44,g16,+
g51,g16,+
g54,g16,+
g62,g16,-
g85,g16,+
g5,g17,+
g20,g17,+
g47,g17,+
g70,g17,+
g95,g17,+
g96,g17,+
g99,g17,+
g7,g18,+
g25,g18,+
g37,g18,+
g49,g18,+
g51,g18,+
g60,g18,+
g61,g18,-
g64,g18,+
g65,g18,+
g82,g18,+
g92,g18,+
g8,g19,+
g13,g19,+
g23,g19,+
g8,g20,+
g29,g20,+
g42,g20,-
g47,g20,+
g53,g20,+
g54,g20,+
g8,g21,+
g20,g21,+
g30,g21,+
g32,g21,+
g35,g21,+
g43,g21,+
g46,g21,+
g48,g21,+
g52,g21,+
g60,g21,+
g68,g21,+
g81,g21,+
g83,g21,+
g97,g21,+
g2,g22,+
g4,g22,+
g8,g22,+
g21,g22,+
g23,g22,+
g25,g22,+
g30,g22,+
g43,g22,+
g48,g22,+
g55,g22,+
g62,g22,+
g72,g22,+
g83,g22,-
g84,g22,+
g99,g22,+
g6,g23,+
g10,g23,+
g34,g23,+
g39,g23,-
g78,g23,+
g80,g23,+
g84,g23,+
g86,g23,-
g94,g23,+
g18,g24,-
g35,g24,+
g39,g24,+
g46,g24,-
g48,g24,-
g55,g24,+
g76,g24,+
g83,g24,+
g94,g24,+
g95,g24,+
g17,g25,-
g22,g25,+
g31,g25,+
g39,g25,+
g59,g25,+
g60,g25,+
g68,g25,+
g69,g25,+
g74,g25,+
g80,g25,+
g87,g25,+
g93,g25,+
g1,g26,+
g2,g26,+
g9,g26,+
g32,g26,+
g33,g26,+
g34,g26,+
g39,g26,-
g41,g26,+
g48,g26,-
g52,g26,+
g72,g26,+
g78,g26,+
g83,g26,+
g87,g26,+
g10,g27,+
g23,g27,+
g24,g27,+
g30,g27,-
g31,g27,+
g37,g27,+
g41,g27,-
g46,g27,+
g50,g27,+
g56,g27,+
g64,g27,+
g67,g27,+
g82,g27,+
g84,g27,+
g85,g27,+
g86,g27,+
g88,g27,+
g92,g27,+
g13,g28,+
g16,g28,+
g42,g28,+
g50,g28,+
g68,g28,+
g75,g28,+
g95,g28,+
g96,g28,+
g2,g29,+
g20,g29,+
g22,g29,+
g38,g29,+
g51,g29,+
g55,g29,+
g78,g29,+
g94,g29,+
g6,g30,+
g8,g30,+
g37,g30,+
g49,g30,+
g69,g30,+
g78,g30,-
g86,g30,+
g92,g30,-
g3,g31,+
g16,g31,+
g17,g31,+
g23,g31,+
g33,g31,+
g42,g31,-
g52,g31,+
g68,g31,+
g2,g32,+
g15,g32,+
g47,g32,+
g55,g32,+
g58,g32,+
g62,g32,+
g71,g32,+
g79,g32,+
g83,g32,+
g87,g32,+
g88,g32,+
g91,g32,-
g94,g32,+
g1,g33,+
g9,g33,-
g12,g33,+
g18,g33,+
g23,g33,+
g35,g33,-
g53,g33,+
g61,g33,-
g2,g34,+
g17,g34,+
g33,g34,+
g45,g34,+
g49,g34,+
g62,g34,+
g67,g34,+
g89,g34,+
g96,g34,+
g100,g34,+
g5,g35,+
g9,g35,+
g31,g35,+
g41,g35,-
g48,g35,+
g55,g35,+
g68,g35,+
g88,g35,+
g92,g35,-
g1,g36,+
g18,g36,+
g22,g36,+
g23,g36,+
g25,g36,+
g29,g36,+
g42,g36,+
g53,g36,+
g72,g36,+
g95,g36,+
g4,g37,+
g7,g37,+
g26,g37,+
g30,g37,-
g33,g37,+
g34,g37,+
g44,g37,+
g46,g37,+
g56,g37,+
g57,g37,+
g78,g37,+
g88,g37,+
g3,g38,+
g13,g38,+
g14,g38,+
g25,g38,-
g28,g38,+
g32,g38,+
g34,g38,+
g39,g38,+
g48,g38,+
g55,g38,-
g74,g38,+
g18,g39,+
g19,g39,+
g42,g39,+
g48,g39,+
g50,g39,+
g63,g39,+
g76,g39,+
g77,g39,+
g82,g39,+
g96,g39,+
g97,g39,+
g24,g40,+
g42,g40,+
g51,g40,+
g67,g40,+
g72,g40,+
