Gene1,Gene2,Type
g2,g1,+
g7,g1,+
g10,g1,+
g39,g1,+
g44,g1,+
g46,g1,+
g78,g1,+
g79,g1,+
g81,g1,+
g84,g1,+
g94,g1,+
g98,g1,+
g23,g2,+
g25,g2,+
g33,g2,+
g45,g2,+
g46,g2,-
g53,g2,+
g57,g2,+
g72,g2,+
g74,g2,+
g77,g2,+
g2,g3,-
g24,g3,+
g34,g3,-
g52,g3,+
g57,g3,+
g71,g3,-
g74,g3,+
g75,g3,+
g78,g3,+
g9,g4,+
g15,g4,+
g25,g4,+
g39,g4,+
g44,g4,+
g58,g4,-
g69,g4,+
g71,g4,+
g25,g5,+
g39,g5,+
g52,g5,+
g59,g5,+
g70,g5,+
g72,g5,+
g73,g5,-
g86,g5,-
g91,g5,+
g27,g6,+
g36,g6,+
g40,g6,+
g48,g6,+
g57,g6,+
g64,g6,+
g66,g6,+
g74,g6,+
g78,g6,-
g79,g6,+
g83,g6,-
g89,g6,+
g90,g6,+
g2,g7,+
g34,g7,+
g39,g7,+
g48,g7,+
g51,g7,+
g62,g7,+
g64,g7,+
g78,g7,+
g96,g7,+
g10,g8,+
g14,g8,+
g15,g8,+
g22,g8,+
g23,g8,+
g45,g8,+
g52,g8,+
g62,g8,+
g63,g8,+
g87,g8,+
g89,g8,+
g91,g8,+
g96,g8,+
g98,g8,+
g1,g9,+
g10,g9,+
g28,g9,+
g47,g9,-
g63,g9,+
g64,g9,+
g70,g9,-
g82,g9,+
g89,g9,+
g96,g9,+
g100,g9,+
g3,g10,+
g8,g10,+
g12,g10,+
g16,g10,-
g17,g10,+
g25,g10,+
g27,g10,-
g35,g10,-
g36,g10,+
g40,g10,+
g43,g10,+
g47,g10,+
g50,g10,+
g56,g10,-
g60,g10,-
g64,g10,+
g88,g10,-
g98,g10,+
g100,g10,+
g12,g11,-
g51,g11,+
g74,g11,+
g10,g12,+
g13,g12,+
g15,g12,+
g19,g12,+
g23,g12,+
g51,g12,+
g60,g12,+
g81,g12,+
g84,g12,+
g87,g12,+
g2,g13,+
g9,g13,+
g26,g13,+
g30,g13,+
g58,g13,+
g61,g13,+
g63,g13,+
g83,g13,+
g88,g13,+
g90,g13,-
g5,g14,+
g58,g14,+
g59,g14,+
g61,g14,+
g87,g14,+
g89,g14,+
g91,g14,+
g97,g14,+
g12,g15,+
g19,g15,+
g25,g15,+
g42,g15,+
g47,g15,+
g56,g15,+
g76,g15,+
g80,g15,+
g87,g15,+
g5,g16,+
g10,g16,+
g21,g16,+
g29,g16,+
g43,g16,+
g65,g16,+
g66,g16,+
g68,g16,+
g74,g16,+
g81,g16,+
g83,g16,+
g84,g16,+
g88,g16,+
g91,g16,+
g12,g17,+
g23,g17,+
g34,g17,+
g38,g17,+
g45,g17,-
g46,g17,+
g65,g17,+
g69,g17,-
g70,g17,+
g76,g17,+
g92,g17,+
g1,g18,+
g22,g18,+
g24,g18,-
g36,g18,+
g41,g18,+
g62,g18,+
g7,g19,+
g14,g19,+
g23,g19,+
g29,g19,+
g37,g19,+
g46,g19,+
g48,g19,+
g55,g19,+
g62,g19,+
g78,g19,+
g79,g19,+
g88,g19,+
g94,g19,+
g98,g19,-
g8,g20,+
g28,g20,+
g34,g20,+
g39,g20,+
g43,g20,+
g44,g20,-
g74,g20,+
g99,g20,+
g100,g20,+
g20,g21,+
g84,g21,-
g91,g21,+
g96,g21,+
g11,g22,+
g13,g22,+
g18,g22,+
g27,g22,+
g31,g22,+
g68,g22,+
g71,g22,+
g72,g22,+
g98,g22,+
g17,g23,+
g19,g23,+
g58,g23,+
g74,g23,+
g83,g23,+
g86,g23,+
g93,g23,+
g98,g23,+
g4,g24,+
g7,g24,+
g10,g24,+
g18,g24,+
g35,g24,-
g48,g24,+
g55,g24,+
g57,g24,+
g70,g24,+
g80,g24,+
g8,g25,+
g17,g25,-
g20,g25,+
g30,g25,-
g39,g25,+
g40,g25,+
