Gene1,Gene2,Type
g38,g1,+
g41,g1,+
g42,g1,+
g53,g1,+
g62,g1,+
g81,g1,+
g82,g1,+
g84,g1,+
g97,g1,+
g11,g2,+
g13,g2,+
g14,g2,+
g21,g2,-
g23,g2,+
g37,g2,+
g48,g2,+
g49,g2,-
g58,g2,+
g81,g2,+
g83,g2,+
g88,g2,+
g93,g2,+
g7,g3,-
g19,g3,-
g28,g3,+
g42,g3,+
g52,g3,+
g66,g3,+
g85,g3,+
g89,g3,+
g9,g4,+
g15,g4,+
g20,g4,+
g23,g4,+
g29,g4,+
g48,g4,+
g54,g4,+
g55,g4,+
g63,g4,+
g80,g4,+
g88,g4,+
g93,g4,+
g95,g4,+
g98,g4,-
g1,g5,+
g27,g5,+
g29,g5,+
g34,g5,+
g69,g5,+
g89,g5,+
g95,g5,+
g11,g6,+
g13,g6,+
g14,g6,+
g18,g6,+
g20,g6,+
g21,g6,+
g31,g6,+
g34,g6,+
g37,g6,+
g40,g6,+
g45,g6,+
g48,g6,+
g51,g6,+
g59,g6,+
g61,g6,-
g66,g6,+
g73,g6,+
g79,g6,+
g81,g6,+
g87,g6,+
g97,g6,+
g1,g7,+
g5,g7,+
g6,g7,+
g11,g7,+
g35,g7,+
g37,g7,+
g38,g7,+
g52,g7,-
g66,g7,+
g69,g7,+
g75,g7,+
g88,g7,+
g92,g7,+
g6,g8,+
g7,g8,+
g18,g8,+
g26,g8,+
g51,g8,+
g53,g8,+
g54,g8,-
g67,g8,+
g76,g8,+
g77,g8,+
g3,g9,-
g21,g9,+
g38,g9,+
g51,g9,+
g68,g9,+
g83,g9,+
g15,g10,+
g17,g10,+
g31,g10,+
g45,g10,+
g47,g10,+
g51,g10,+
g60,g10,-
g62,g10,+
g68,g10,+
g69,g10,+
g70,g10,+
g9,g11,+
g12,g11,+
g14,g11,+
g26,g11,+
g39,g11,+
g40,g11,-
g68,g11,+
g83,g11,+
g15,g12,+
g19,g12,+
g27,g12,+
g40,g12,+
g43,g12,+
g46,g12,+
g52,g12,-
g58,g12,+
g59,g12,+
g70,g12,+
g77,g12,+
g86,g12,+
g98,g12,+
g15,g13,+
g44,g13,+
g45,g13,+
g57,g13,+
g75,g13,+
g79,g13,+
g81,g13,+
g85,g13,+
g90,g13,+
g95,g13,+
g12,g14,+
g20,g14,+
g22,g14,+
g24,g14,+
g41,g14,+
g50,g14,+
g60,g14,+
g63,g14,+
g68,g14,+
g78,g14,+
g81,g14,+
g84,g14,-
g90,g14,+
g99,g14,+
g12,g15,+
g24,g15,+
g25,g15,+
g27,g15,+
g50,g15,+
g93,g15,+
g95,g15,+
g1,g16,+
g3,g16,+
g11,g16,+
g35,g16,+
g39,g16,+
g50,g16,-
g93,g16,+
g4,g17,+
g54,g17,+
g63,g17,+
g79,g17,+
g86,g17,+
g96,g17,+
g98,g17,+
g2,g18,+
g15,g18,-
g19,g18,+
g20,g18,+
g69,g18,+
g86,g18,+
g95,g18,+
g1,g19,+
g2,g19,+
g8,g19,+
g14,g19,+
g15,g19,+
g30,g19,+
g34,g19,-
g36,g19,+
g40,g19,+
g45,g19,+
g55,g19,-
g56,g19,+
g85,g19,+
g92,g19,+
g93,g19,+
g51,g20,+
g61,g20,+
g68,g20,+
