Gene  Rule 
g1    ( g14 or g19 or g42 or g46 or g61 or g63 or g70 or g72 or g76 or g96 ) and not ( g6 )
g2    ( g5 or g42 or g51 or g62 or g69 or g71 or g76 or g83 or g100 ) and not ( g4 or g97 )
g3    ( g2 or g9 or g19 or g21 or g51 or g67 or g72 or g80 or g87 or g88 or g89 or g96 or g100 ) and not ( g46 )
g4    ( g6 or g74 or g82 or g86 or g88 or g93 ) and not ( g8 or g43 )
g5    ( g18 or g30 or g34 or g40 or g47 or g61 or g63 or g74 or g85 or g94 )
g6    ( g2 or g19 or g21 or g22 or g29 or g35 or g36 or g38 or g45 or g51 or g63 or g66 or g86 )
g7    ( g18 or g22 or g46 or g56 or g59 or g73 or g80 ) and not ( g35 )
g8    ( g12 or g18 or g42 or g53 or g56 or g60 or g72 or g81 or g86 or g87 ) and not ( g6 or g15 )
g9    ( g7 or g13 or g17 or g22 or g24 or g26 or g34 or g40 or g76 ) and not ( g83 )
g10    ( g34 or g68 or g81 ) and not ( g26 or g45 or g47 )
g11    ( g1 or g8 or g18 or g19 or g34 or g35 or g50 or g78 )
g12    ( g31 or g33 or g45 or g64 or g95 or g96 )
g13    ( g5 or g7 or g24 or g28 or g36 or g43 or g47 or g53 or g72 or g79 ) and not ( g84 )
g14    ( g1 or g42 or g45 or g51 or g54 or g61 or g86 or g92 )
g15    ( g2 or g14 or g33 or g38 or g44 or g81 or g88 ) and not ( g36 or g39 )
g16    ( g19 or g22 or g28 or g39 or g40 or g47 or g49 or g60 or g61 or g87 )
g17    ( g8 or g11 or g25 or g30 or g45 or g47 or g65 or g86 or g94 or g97 ) and not ( g39 )
g18    ( g6 or g8 or g11 or g59 or g69 or g98 ) and not ( g39 or g43 or g67 )
g19    ( g6 or g7 or g64 or g90 or g98 ) and not ( g1 )
g20    ( g16 or g18 or g30 or g35 or g36 or g42 or g48 or g49 or g75 or g98 or g100 )
g21    ( g43 or g63 or g71 or g89 or g98 or g100 ) and not ( g88 )
g22    ( g12 or g19 or g23 or g26 or g32 or g34 or g35 or g45 or g59 or g60 or g61 or g93 ) and not ( g8 or g48 or g83 )
g23    ( g11 or g12 or g19 or g31 or g48 or g67 or g77 )
g24    ( g4 or g5 or g11 or g22 or g28 or g34 or g38 or g54 or g66 or g68 or g95 ) and not ( g82 )
g25    ( g3 or g13 or g17 or g24 or g30 or g56 or g71 or g92 or g100 ) and not ( g76 )
g26    ( g2 or g17 or g34 or g44 or g55 or g66 or g78 ) and not ( g81 )
