Gene1,Gene2,Type
g6,g1,+
g20,g1,+
g39,g1,+
g42,g1,-
g44,g1,+
g46,g1,+
g59,g1,+
g60,g1,+
g78,g1,+
g79,g1,+
g6,g2,+
g25,g2,+
g54,g2,+
g75,g2,+
g83,g2,+
g89,g2,+
g92,g2,+
g93,g2,+
g95,g2,+
g7,g3,+
g16,g3,+
g31,g3,+
g52,g3,+
g66,g3,+
g72,g3,+
g82,g3,+
g90,g3,+
g91,g3,+
g93,g3,+
g98,g3,+
g22,g4,+
g39,g4,+
g44,g4,+
g66,g4,+
g84,g4,+
g20,g5,+
g31,g5,+
g49,g5,+
g65,g5,+
g68,g5,+
g75,g5,+
g76,g5,-
g89,g5,+
g93,g5,+
g4,g6,+
g5,g6,+
g13,g6,+
g17,g6,+
g19,g6,+
g24,g6,+
g26,g6,+
g46,g6,+
g61,g6,+
g77,g6,+
g94,g6,+
g3,g7,+
g14,g7,+
g15,g7,+
g19,g7,+
g44,g7,-
g56,g7,+
g64,g7,+
g65,g7,+
g70,g7,+
g74,g7,+
g97,g7,+
g5,g8,+
g9,g8,+
g13,g8,+
g14,g8,+
g28,g8,+
g39,g8,+
g46,g8,-
g70,g8,+
g75,g8,+
g76,g8,+
g86,g8,+
g94,g8,+
g13,g9,+
g27,g9,+
g29,g9,+
g33,g9,+
g46,g9,+
g50,g9,+
g52,g9,-
g68,g9,+
g78,g9,+
g92,g9,-
g100,g9,+
g1,g10,+
g11,g10,+
g20,g10,+
g34,g10,+
g64,g10,+
g77,g10,+
g85,g10,+
g91,g10,+
g95,g10,+
g99,g10,+
g5,g11,+
g12,g11,+
g31,g11,+
g47,g11,+
g55,g11,+
g60,g11,+
g66,g11,+
g69,g11,+
g71,g11,+
g72,g11,+
g76,g11,+
g86,g11,+
g20,g12,+
g40,g12,+
g49,g12,+
g60,g12,+
g63,g12,+
g65,g12,+
g67,g12,+
g68,g12,+
g97,g12,+
g98,g12,+
g1,g13,+
g17,g13,+
g30,g13,+
g38,g13,+
g39,g13,+
g48,g13,+
g81,g13,+
g83,g13,+
g95,g13,+
g3,g14,+
g5,g14,+
g8,g14,+
g37,g14,+
g45,g14,+
g47,g14,+
g61,g14,-
g67,g14,+
g73,g14,+
g76,g14,+
g92,g14,+
g98,g14,+
g2,g15,-
g19,g15,+
g23,g15,+
g24,g15,+
g37,g15,+
g46,g15,+
g54,g15,+
g73,g15,+
g85,g15,+
g94,g15,+
g5,g16,+
g11,g16,+
g20,g16,+
g37,g16,+
g39,g16,+
g43,g16,+
g49,g16,+
g54,g16,+
g61,g16,+
g73,g16,+
g77,g16,+
g83,g16,+
g3,g17,+
g15,g17,+
g28,g17,+
g30,g17,+
g37,g17,+
g55,g17,+
g57,g17,+
g77,g17,+
g91,g17,+
g92,g17,+
g93,g17,+
g5,g18,+
g13,g18,-
g21,g18,+
g30,g18,+
g40,g18,+
g64,g18,+
g76,g18,+
g80,g18,+
g85,g18,+
g1,g19,+
g6,g19,-
g9,g19,+
g36,g19,+
g38,g19,+
g49,g19,+
g54,g19,+
g55,g19,+
g59,g19,+
g68,g19,+
g69,g19,+
g77,g19,+
g93,g19,+
g6,g20,+
g16,g20,+
g28,g20,+
g29,g20,+
g35,g20,+
g41,g20,+
g46,g20,+
g57,g20,+
g70,g20,+
g77,g20,+
g88,g20,+
g8,g21,+
g9,g21,+
g20,g21,-
g33,g21,+
g37,g21,+
g39,g21,+
g54,g21,+
g58,g21,+
g65,g21,+
g76,g21,+
g92,g21,+
g99,g21,+
g3,g22,-
g12,g22,+
g30,g22,-
g32,g22,+
g55,g22,+
g73,g22,+
g5,g23,+
g27,g23,+
g33,g23,+
g38,g23,+
g52,g23,+
g79,g23,+
g85,g23,+
g87,g23,+
g91,g23,+
g92,g23,+
g7,g24,+
g20,g24,+
g22,g24,+
g23,g24,+
g27,g24,+
g38,g24,+
g64,g24,-
g66,g24,+
g67,g24,+
g68,g24,+
g78,g24,+
g92,g24,+
g93,g24,+
g99,g24,+
g100,g24,+
g21,g25,+
g37,g25,+
g43,g25,+
g47,g25,+
g58,g25,-
g79,g25,+
g82,g25,+
g95,g25,-
g99,g25,+
g17,g26,-
g18,g26,+
g24,g26,+
g27,g26,+
g33,g26,+
g43,g26,+
g50,g26,+
g69,g26,+
g71,g26,+
g74,g26,+
g78,g26,+
g85,g26,+
g87,g26,+
g93,g26,+
g96,g26,+
g7,g27,+
g9,g27,-
g10,g27,+
g18,g27,+
g34,g27,+
g54,g27,+
g71,g27,+
g78,g27,-
g88,g27,+
g26,g28,+
g27,g28,+
g30,g28,+
g35,g28,-
g37,g28,+
g44,g28,+
g49,g28,+
g55,g28,+
g84,g28,+
g87,g28,+
g90,g28,-
g16,g29,+
g21,g29,+
g64,g29,+
g70,g29,+
g72,g29,+
g75,g29,+
g81,g29,+
g92,g29,-
g6,g30,+
g15,g30,+
g17,g30,+
g19,g30,+
g27,g30,+
g54,g30,+
g79,g30,+
g97,g30,+
g21,g31,+
g27,g31,+
g32,g31,+
g57,g31,+
g69,g31,+
g71,g31,+
g76,g31,+
g77,g31,-
g78,g31,+
g84,g31,+
g97,g31,+
g99,g31,+
g9,g32,+
g16,g32,+
g18,g32,+
g23,g32,+
g26,g32,+
g28,g32,+
g33,g32,+
g45,g32,-
g55,g32,+
g95,g32,-
g9,g33,+
g14,g33,+
g38,g33,+
g55,g33,+
g57,g33,+
g68,g33,+
g75,g33,+
g77,g33,+
g84,g33,+
g13,g34,+
g40,g34,-
g46,g34,+
g50,g34,-
g52,g34,+
g65,g34,+
g72,g34,+
g97,g34,+
g2,g35,+
g4,g35,+
g43,g35,+
g66,g35,+
g81,g35,+
g82,g35,+
g94,g35,-
g5,g36,+
g7,g36,+
g13,g36,+
g74,g36,+
g10,g37,+
g15,g37,+
g34,g37,+
g39,g37,+
g51,g37,+
g65,g37,+
g77,g37,+
g86,g37,+
g94,g37,+
g10,g38,+
g21,g38,-
g22,g38,+
g29,g38,+
g43,g38,+
g44,g38,+
g45,g38,+
g74,g38,+
g77,g38,+
g84,g38,+
g85,g38,+
g92,g38,+
g98,g38,+
g18,g39,+
g40,g39,+
g48,g39,+
g61,g39,+
g81,g39,+
g90,g39,-
g95,g39,-
g4,g40,+
g5,g40,-
g11,g40,+
g16,g40,+
g18,g40,+
g23,g40,+
g42,g40,+
g57,g40,+
g72,g40,-
g73,g40,+
g18,g41,+
g30,g41,+
g40,g41,+
g50,g41,+
g52,g41,+
g71,g41,+
g72,g41,+
g75,g41,+
g77,g41,+
g81,g41,+
g90,g41,+
g94,g41,+
g100,g41,+
g1,g42,+
g8,g42,+
g9,g42,+
g24,g42,+
g35,g42,+
g37,g42,+
g48,g42,+
g63,g42,-
g66,g42,+
g69,g42,+
g92,g42,+
g33,g43,+
g52,g43,+
g69,g43,+
g75,g43,+
g94,g43,+
g98,g43,+
g16,g44,+
g29,g44,+
g51,g44,+
g68,g44,+
g84,g44,+
g88,g44,+
g89,g44,+
g13,g45,+
g39,g45,+
g60,g45,+
g62,g45,+
g72,g45,+
g5,g46,+
g30,g46,+
g51,g46,+
g57,g46,+
g74,g46,+
g76,g46,-
g82,g46,+
g89,g46,+
g92,g46,+
g26,g47,+
g27,g47,+
g29,g47,+
g42,g47,+
g61,g47,+
g63,g47,+
g64,g47,+
g72,g47,+
g79,g47,+
g87,g47,+
g90,g47,+
g97,g47,+
g9,g48,+
g12,g48,+
g18,g48,+
g19,g48,+
g21,g48,+
g33,g48,+
g45,g48,+
g51,g48,-
g56,g48,+
g62,g48,+
g64,g48,+
g71,g48,+
g80,g48,+
g81,g48,+
g97,g48,+
g16,g49,+
g26,g49,+
g27,g49,+
g50,g49,+
g72,g49,+
g73,g49,+
g77,g49,+
g100,g49,+
g4,g50,+
g6,g50,+
g15,g50,-
g35,g50,+
g54,g50,+
g63,g50,+
g66,g50,+
g81,g50,+
g98,g50,-
g11,g51,+
g13,g51,+
g28,g51,+
g53,g51,-
g57,g51,-
g61,g51,+
g66,g51,+
g69,g51,+
g86,g51,+
g91,g51,+
g4,g52,+
g6,g52,+
g7,g52,+
g12,g52,+
g25,g52,+
g38,g52,+
g44,g52,+
g59,g52,-
g65,g52,+
g67,g52,+
g80,g52,+
g92,g52,+
g7,g53,+
g8,g53,+
g15,g53,+
g28,g53,-
g32,g53,+
g36,g53,+
g41,g53,+
g58,g53,+
g62,g53,+
