Gene1,Gene2,Type
g11,g1,+
g19,g1,+
g39,g1,+
g40,g1,+
g49,g1,+
g56,g1,+
g71,g1,+
g74,g1,-
g86,g1,+
g89,g1,+
g90,g1,+
g95,g1,+
g1,g2,+
g8,g2,+
g20,g2,-
g34,g2,-
g53,g2,+
g54,g2,+
g66,g2,+
g81,g2,+
g82,g2,+
g85,g2,+
g87,g2,+
g97,g2,+
g100,g2,+
g17,g3,+
g20,g3,+
g31,g3,+
g55,g3,+
g66,g3,-
g75,g3,+
g82,g3,+
g90,g3,+
g99,g3,+
g8,g4,+
g13,g4,+
g38,g4,+
g45,g4,+
g48,g4,+
g52,g4,+
g53,g4,+
g60,g4,+
g63,g4,+
g69,g4,+
g72,g4,+
g90,g4,+
g93,g4,+
g96,g4,+
g4,g5,+
g8,g5,+
g17,g5,+
g26,g5,+
g29,g5,+
g37,g5,+
g53,g5,+
g62,g5,+
g94,g5,+
g25,g6,+
g26,g6,+
g32,g6,+
g34,g6,-
g35,g6,+
g48,g6,+
g56,g6,+
g71,g6,+
g73,g6,+
g80,g6,+
g83,g6,+
g96,g6,+
g1,g7,+
g24,g7,+
g25,g7,+
g38,g7,+
g39,g7,+
g43,g7,+
g54,g7,-
g55,g7,+
g56,g7,+
g70,g7,+
g97,g7,+
g6,g8,+
g13,g8,+
g22,g8,+
g26,g8,+
g34,g8,-
g51,g8,-
g56,g8,+
g87,g8,+
g94,g8,-
g16,g9,+
g21,g9,+
g24,g9,+
g26,g9,+
g41,g9,+
g47,g9,+
g52,g9,+
g54,g9,+
g55,g9,+
g77,g9,+
g81,g9,+
g1,g10,+
g3,g10,+
g12,g10,+
g28,g10,+
g37,g10,+
g49,g10,+
g81,g10,+
g84,g10,+
g93,g10,+
g97,g10,+
g100,g10,+
g5,g11,+
g8,g11,+
g17,g11,+
g30,g11,-
g32,g11,-
g34,g11,+
g67,g11,+
g69,g11,+
g90,g11,+
g95,g11,+
g11,g12,+
g44,g12,+
g46,g12,+
g49,g12,+
g66,g12,+
g67,g12,+
g69,g12,+
g76,g12,+
g92,g12,+
g16,g13,+
g22,g13,+
g71,g13,+
g75,g13,+
g84,g13,+
g94,g13,+
g6,g14,-
g49,g14,+
g52,g14,+
g57,g14,+
g58,g14,+
g62,g14,+
g64,g14,+
g66,g14,+
g67,g14,-
g75,g14,+
g83,g14,+
g90,g14,+
g14,g15,+
g59,g15,+
g62,g15,+
g67,g15,+
g77,g15,+
g88,g15,+
g95,g15,+
g5,g16,+
g18,g16,-
g22,g16,+
g23,g16,+
g25,g16,+
g32,g16,+
g54,g16,+
g61,g16,+
g73,g16,+
g78,g16,+
g79,g16,+
g80,g16,+
g24,g17,-
g29,g17,+
g39,g17,+
g44,g17,+
g54,g17,-
g66,g17,+
g77,g17,+
g81,g17,+
g82,g17,+
g85,g17,-
g89,g17,+
g96,g17,-
g3,g18,+
g4,g18,-
g6,g18,+
g8,g18,+
g17,g18,+
g21,g18,+
g22,g18,+
g31,g18,+
g41,g18,+
g48,g18,+
g77,g18,+
g79,g18,+
g86,g18,+
g90,g18,-
g93,g18,+
g98,g18,+
g100,g18,+
g3,g19,+
g7,g19,+
g26,g19,+
g44,g19,+
g56,g19,+
g57,g19,+
g61,g19,+
g72,g19,+
g77,g19,-
g93,g19,+
g6,g20,+
g11,g20,-
g14,g20,+
g26,g20,+
g44,g20,+
g45,g20,+
g49,g20,+
g51,g20,+
g57,g20,+
g63,g20,+
g67,g20,+
g81,g20,+
g85,g20,+
g95,g20,+
g96,g20,+
g99,g20,+
g22,g21,+
g32,g21,+
g42,g21,+
g50,g21,-
g55,g21,-
g76,g21,+
g80,g21,+
g2,g22,-
g6,g22,+
g13,g22,+
g20,g22,+
g24,g22,+
g31,g22,+
g37,g22,+
g48,g22,+
g75,g22,+
g89,g22,+
g93,g22,+
g4,g23,+
g11,g23,+
g14,g23,+
g26,g23,+
g36,g23,+
g43,g23,+
g45,g23,+
g48,g23,+
g58,g23,+
g70,g23,+
g79,g23,+
g89,g23,+
g94,g23,+
g4,g24,+
g9,g24,+
g20,g24,+
g28,g24,+
g30,g24,+
g32,g24,-
g37,g24,+
g54,g24,-
g63,g24,+
g69,g24,+
g82,g24,+
g94,g24,+
g95,g24,+
g100,g24,+
g4,g25,-
g5,g25,+
g13,g25,+
g22,g25,+
g42,g25,+
g55,g25,+
g60,g25,+
g69,g25,-
g80,g25,+
g82,g25,+
g89,g25,+
g36,g26,-
g37,g26,+
g40,g26,+
g61,g26,+
g70,g26,+
g78,g26,+
g93,g26,+
g99,g26,+
g12,g27,+
g17,g27,+
g26,g27,+
g37,g27,-
g84,g27,+
g89,g27,+
g97,g27,+
g18,g28,+
g24,g28,+
g30,g28,+
g34,g28,+
g50,g28,+
g68,g28,+
g74,g28,+
g81,g28,+
g92,g28,+
g4,g29,+
g14,g29,+
g17,g29,+
g21,g29,-
g23,g29,+
g49,g29,+
g66,g29,+
g75,g29,-
g80,g29,+
g89,g29,-
g92,g29,+
g96,g29,+
g12,g30,+
g18,g30,+
g63,g30,+
g68,g30,+
g82,g30,+
g92,g30,+
g4,g31,+
g50,g31,+
g66,g31,+
g67,g31,+
g85,g31,+
g93,g31,+
g7,g32,+
g17,g32,+
g19,g32,+
g20,g32,+
g25,g32,+
g33,g32,+
g48,g32,+
g65,g32,+
g66,g32,+
g74,g32,+
g85,g32,+
g90,g32,+
g95,g32,+
g96,g32,+
g97,g32,+
g98,g32,+
g23,g33,+
g30,g33,+
g36,g33,+
g63,g33,+
g90,g33,+
g94,g33,+
g3,g34,-
g24,g34,+
g64,g34,+
g75,g34,+
g78,g34,+
g81,g34,+
g93,g34,+
g99,g34,-
g3,g35,+
g6,g35,+
g8,g35,-
g10,g35,+
g31,g35,+
g39,g35,+
g44,g35,+
g59,g35,-
g60,g35,+
g65,g35,+
g66,g35,+
g70,g35,+
g83,g35,+
g91,g35,+
g7,g36,+
g8,g36,+
g11,g36,+
g21,g36,+
g31,g36,+
g39,g36,+
g42,g36,+
g51,g36,+
g60,g36,+
g61,g36,-
g64,g36,+
g80,g36,+
g82,g36,+
g88,g36,-
g49,g37,+
g59,g37,+
g71,g37,+
g80,g37,+
g82,g37,+
g91,g37,+
g100,g37,+
g12,g38,+
g13,g38,+
g53,g38,+
g91,g38,+
g92,g38,+
g94,g38,-
g11,g39,+
g14,g39,+
g35,g39,+
g36,g39,+
g37,g39,+
g40,g39,+
g51,g39,+
g54,g39,+
g62,g39,+
g72,g39,+
g92,g39,+
g3,g40,+
g39,g40,+
g75,g40,+
g81,g40,+
g86,g40,-
g4,g41,+
g6,g41,+
g10,g41,+
g24,g41,+
g27,g41,-
g48,g41,+
g78,g41,+
g96,g41,+
g6,g42,+
g17,g42,+
g27,g42,+
g39,g42,+
g50,g42,+
g54,g42,+
g56,g42,+
g59,g42,-
g63,g42,+
g76,g42,+
g77,g42,+
g79,g42,+
g82,g42,+
g87,g42,+
g97,g42,+
g18,g43,+
g26,g43,+
g28,g43,+
g29,g43,+
g31,g43,+
g36,g43,+
g45,g43,-
g69,g43,+
g70,g43,+
g78,g43,+
g95,g43,-
g43,g44,+
g64,g44,+
g70,g44,+
g86,g44,+
g99,g44,+
g3,g45,+
g8,g45,+
g37,g45,+
g42,g45,+
g52,g45,+
g61,g45,+
g67,g45,+
g68,g45,+
g70,g45,+
g77,g45,+
g89,g45,+
g100,g45,-
g12,g46,-
g23,g46,+
g60,g46,+
g62,g46,-
g70,g46,-
g71,g46,+
g88,g46,+
g96,g46,+
g7,g47,+
g17,g47,+
g37,g47,+
g63,g47,+
g65,g47,+
g73,g47,-
g76,g47,+
g80,g47,+
g88,g47,+
g95,g47,+
g99,g47,+
g3,g48,+
g4,g48,+
g19,g48,+
g27,g48,+
g29,g48,+
g30,g48,+
g41,g48,+
g42,g48,+
g49,g48,+
g61,g48,-
g63,g48,+
g64,g48,+
g70,g48,+
g1,g49,+
g20,g49,-
g25,g49,+
g31,g49,+
g39,g49,+
g59,g49,+
g76,g49,+
g83,g49,+
g89,g49,+
g90,g49,+
g8,g50,+
g36,g50,+
g44,g50,+
g48,g50,+
g51,g50,+
g54,g50,+
g64,g50,+
g67,g50,+
g74,g50,-
g80,g50,+
g82,g50,+
g88,g50,+
g100,g50,+
g17,g51,+
g26,g51,+
g39,g51,+
g42,g51,+
g67,g51,+
g80,g51,+
g93,g51,+
g99,g51,+
g5,g52,+
g7,g52,+
g11,g52,+
g18,g52,+
g20,g52,+
g27,g52,+
g34,g52,+
g43,g52,-
g55,g52,+
g70,g52,+
g74,g52,+
g78,g52,+
g84,g52,+
g86,g52,+
g2,g53,+
g5,g53,+
g14,g53,+
g25,g53,+
g44,g53,+
g67,g53,+
g71,g53,+
g92,g53,+
g2,g54,+
g8,g54,+
g12,g54,+
g14,g54,+
g17,g54,-
g19,g54,+
g37,g54,+
g86,g54,+
g97,g54,-
g2,g55,+
g11,g55,+
g41,g55,+
g43,g55,+
g53,g55,+
g68,g55,+
g71,g55,+
g72,g55,+
g80,g55,+
g85,g55,-
g87,g55,+
g2,g56,+
g18,g56,+
g19,g56,+
g45,g56,+
g50,g56,+
g64,g56,+
g71,g56,+
g76,g56,+
g83,g56,+
g84,g56,+
g87,g56,-
g96,g56,+
g5,g57,+
g7,g57,+
g37,g57,+
g38,g57,+
g43,g57,+
g61,g57,+
g65,g57,+
g69,g57,+
g93,g57,+
g95,g57,+
g19,g58,+
g27,g58,+
g39,g58,+
g44,g58,+
g46,g58,+
g66,g58,+
g68,g58,+
g2,g59,-
g8,g59,+
g13,g59,+
g43,g59,+
g50,g59,+
g54,g59,+
g82,g59,+
g99,g59,+
g100,g59,+
g14,g60,+
g36,g60,+
g77,g60,+
g83,g60,+
g97,g60,+
g15,g61,+
g27,g61,+
g28,g61,+
g48,g61,+
g54,g61,+
g66,g61,+
g67,g61,+
g70,g61,+
