Gene1,Gene2,Type
g3,g1,+
g32,g1,+
g35,g1,+
g56,g1,+
g64,g1,-
g81,g1,+
g85,g1,+
g9,g2,+
g10,g2,+
g17,g2,+
g31,g2,+
g33,g2,+
g34,g2,+
g44,g2,+
g45,g2,+
g50,g2,-
g51,g2,-
g74,g2,+
g76,g2,+
g81,g2,+
g84,g2,+
g90,g2,+
g93,g2,+
g99,g2,+
g1,g3,+
g2,g3,+
g20,g3,-
g21,g3,+
g32,g3,+
g41,g3,+
g44,g3,+
g86,g3,+
g96,g3,+
g2,g4,-
g38,g4,+
g41,g4,+
g44,g4,+
g48,g4,+
g49,g4,+
g82,g4,+
g94,g4,+
g3,g5,+
g8,g5,+
g11,g5,+
g13,g5,+
g40,g5,+
g47,g5,+
g95,g5,+
g13,g6,+
g14,g6,+
g17,g6,+
g26,g6,+
g48,g6,+
g56,g6,+
g65,g6,+
g77,g6,+
g94,g6,-
g99,g6,+
g5,g7,+
g15,g7,-
g32,g7,+
g39,g7,+
g50,g7,+
g53,g7,+
g55,g7,+
g13,g8,+
g26,g8,-
g30,g8,+
g34,g8,+
g36,g8,+
g40,g8,+
g41,g8,+
g57,g8,+
g68,g8,+
g73,g8,+
g79,g8,+
g80,g8,+
g83,g8,+
g87,g8,+
g93,g8,+
g95,g8,+
g98,g8,-
g2,g9,-
g4,g9,-
g6,g9,+
g10,g9,+
g16,g9,+
g39,g9,+
g46,g9,+
g47,g9,+
g49,g9,+
g57,g9,+
g61,g9,+
g63,g9,+
g67,g9,+
g68,g9,+
g77,g9,+
g79,g9,-
g80,g9,+
g85,g9,+
g12,g10,+
g17,g10,+
g31,g10,+
g74,g10,+
g76,g10,+
g81,g10,+
g83,g10,+
g94,g10,+
g1,g11,+
g3,g11,+
g17,g11,+
g19,g11,+
g40,g11,+
g42,g11,+
g55,g11,+
g56,g11,-
g57,g11,+
g77,g11,+
g89,g11,+
g9,g12,+
g31,g12,-
g32,g12,+
g42,g12,+
g45,g12,+
g46,g12,+
g56,g12,+
g62,g12,+
g67,g12,+
g9,g13,+
g14,g13,+
g15,g13,+
g20,g13,+
g50,g13,-
g51,g13,+
g56,g13,+
g58,g13,+
g73,g13,+
g76,g13,+
g95,g13,+
g3,g14,+
g31,g14,+
g34,g14,+
g47,g14,+
g50,g14,+
g88,g14,+
g90,g14,+
g100,g14,+
g17,g15,+
g24,g15,+
g28,g15,+
g47,g15,+
g53,g15,-
g59,g15,+
g70,g15,+
g71,g15,+
g85,g15,-
g92,g15,+
g93,g15,-
g96,g15,+
g15,g16,+
g20,g16,+
g35,g16,+
g61,g16,-
g71,g16,+
g79,g16,+
g87,g16,+
g95,g16,+
g99,g16,+
g12,g17,-
g27,g17,+
g30,g17,+
g40,g17,+
g46,g17,+
g75,g17,+
g94,g17,+
g96,g17,+
g98,g17,+
g9,g18,+
g12,g18,+
g15,g18,+
g28,g18,+
g40,g18,+
g48,g18,+
g50,g18,+
g51,g18,+
g76,g18,+
g77,g18,+
g89,g18,+
g13,g19,+
g17,g19,+
g22,g19,+
g24,g19,+
g29,g19,+
g53,g19,+
g92,g19,+
g93,g19,+
g1,g20,-
g2,g20,+
g8,g20,+
g10,g20,+
g59,g20,+
g62,g20,+
g70,g20,+
g73,g20,+
g84,g20,+
g2,g21,+
g5,g21,+
g9,g21,+
g47,g21,+
g58,g21,+
g69,g21,-
g82,g21,+
g86,g21,+
g87,g21,+
g2,g22,+
g4,g22,+
g8,g22,+
g13,g22,-
g23,g22,+
g33,g22,+
g34,g22,+
g44,g22,+
g50,g22,+
g59,g22,+
g65,g22,+
g66,g22,+
g71,g22,-
g76,g22,+
g85,g22,-
g12,g23,+
g59,g23,-
g71,g23,+
g8,g24,+
g13,g24,+
g17,g24,+
g26,g24,+
g30,g24,+
g63,g24,+
g84,g24,+
g92,g24,+
g6,g25,+
g17,g25,+
g18,g25,+
g28,g25,+
g33,g25,+
g39,g25,+
g41,g25,+
g48,g25,+
g52,g25,+
g74,g25,+
g75,g25,+
g10,g26,+
g36,g26,+
g40,g26,-
g41,g26,+
g44,g26,+
g72,g26,-
g77,g26,+
g83,g26,+
g85,g26,+
g92,g26,+
g99,g26,+
g31,g27,+
g41,g27,+
g43,g27,-
g54,g27,+
g70,g27,+
g96,g27,+
g98,g27,+
g19,g28,+
g20,g28,+
g31,g28,+
g35,g28,+
g56,g28,+
g62,g28,+
g64,g28,+
g66,g28,+
g71,g28,-
g93,g28,+
g98,g28,+
g6,g29,+
g21,g29,+
g25,g29,+
g26,g29,+
g47,g29,+
g49,g29,+
g70,g29,+
g76,g29,+
g79,g29,+
g88,g29,+
g7,g30,+
g8,g30,+
g11,g30,-
g17,g30,+
g50,g30,+
g52,g30,+
g59,g30,+
g64,g30,+
g69,g30,+
g74,g30,+
g78,g30,+
g88,g30,+
g98,g30,+
g2,g31,+
g30,g31,+
g53,g31,+
g68,g31,+
g69,g31,-
g88,g31,+
g93,g31,+
g27,g32,+
g34,g32,-
g44,g32,+
g48,g32,+
g54,g32,+
g64,g32,+
g67,g32,+
g71,g32,+
g77,g32,+
g86,g32,-
g10,g33,+
g14,g33,-
g44,g33,+
g46,g33,+
g82,g33,+
g93,g33,+
g3,g34,+
g4,g34,+
g6,g34,+
g14,g34,-
g18,g34,+
g39,g34,+
g41,g34,+
g44,g34,+
g77,g34,+
g81,g34,+
g83,g34,-
g87,g34,+
g88,g34,+
g96,g34,+
g3,g35,+
g9,g35,+
g12,g35,+
g25,g35,+
g33,g35,+
g38,g35,+
g48,g35,+
g50,g35,+
g51,g35,+
g57,g35,+
g61,g35,+
g65,g35,+
g66,g35,+
g67,g35,-
g86,g35,+
g93,g35,+
g98,g35,+
g1,g36,+
g8,g36,+
g20,g36,+
g26,g36,-
g34,g36,+
g38,g36,+
g48,g36,+
g66,g36,+
g79,g36,+
g85,g36,+
g89,g36,+
g5,g37,+
g11,g37,+
g20,g37,+
g35,g37,+
g65,g37,+
g88,g37,+
g97,g37,+
g98,g37,+
g99,g37,+
g33,g38,+
g36,g38,+
g42,g38,+
g44,g38,+
g61,g38,-
g65,g38,+
g66,g38,+
g78,g38,+
g7,g39,+
g31,g39,+
g32,g39,+
g47,g39,+
g59,g39,+
g78,g39,-
g85,g39,+
g98,g39,+
g1,g40,+
g3,g40,-
g22,g40,+
g25,g40,+
g27,g40,+
g29,g40,+
g43,g40,+
g44,g40,+
g54,g40,+
g65,g40,-
g68,g40,+
g96,g40,+
g6,g41,+
g9,g41,+
g20,g41,+
g21,g41,+
g35,g41,+
g43,g41,+
g51,g41,+
g63,g41,-
g66,g41,+
g74,g41,+
g79,g41,+
g93,g41,+
g95,g41,+
g97,g41,+
g9,g42,+
g52,g42,+
g57,g42,+
g58,g42,+
g70,g42,+
g72,g42,+
g79,g42,-
g80,g42,+
g82,g42,+
g86,g42,+
g96,g42,+
g98,g42,+
g7,g43,+
g36,g43,+
g38,g43,+
g42,g43,+
g50,g43,+
g51,g43,+
g53,g43,+
g64,g43,+
g65,g43,+
g69,g43,+
g73,g43,+
g77,g43,+
g82,g43,+
g89,g43,+
g93,g43,+
g97,g43,+
g99,g43,+
g7,g44,+
g23,g44,+
g28,g44,+
g54,g44,+
g60,g44,-
g62,g44,-
g76,g44,+
g81,g44,+
g88,g44,+
g89,g44,+
g100,g44,+
g2,g45,+
g29,g45,+
g40,g45,+
g43,g45,-
g47,g45,+
g51,g45,+
g54,g45,-
g81,g45,+
g85,g45,+
g88,g45,+
g90,g45,-
g97,g45,+
g2,g46,+
g4,g46,+
g6,g46,+
g25,g46,+
g26,g46,+
g32,g46,+
g43,g46,+
g45,g46,+
g49,g46,+
g73,g46,+
g76,g46,+
g97,g46,+
