Gene  Rule 
g1    ( g3 or g14 or g17 or g24 or g27 or g46 or g54 or g60 or g90 or g96 ) and not ( g29 )
g2    ( g30 or g33 or g45 or g60 or g69 or g84 or g87 or g98 )
g3    ( g1 or g11 or g33 or g36 or g37 or g64 or g79 or g82 or g86 ) and not ( g13 )
g4    ( g2 or g18 or g21 or g26 or g41 or g55 or g60 ) and not ( g56 or g96 )
g5    ( g49 or g57 or g59 or g68 or g96 ) and not ( g2 )
g6    ( g2 or g11 or g14 or g15 or g29 or g39 or g48 or g85 or g89 or g99 )
g7    ( g25 or g37 or g44 or g46 or g51 or g57 or g59 or g66 or g81 or g84 or g88 or g100 ) and not ( g74 )
g8    ( g68 or g74 or g76 or g82 or g84 or g97 ) and not ( g58 or g71 or g89 )
g9    ( g5 or g7 or g10 or g13 or g25 or g29 or g32 or g43 or g62 or g65 or g75 or g82 or g98 ) and not ( g92 )
g10    ( g13 or g20 or g70 or g71 or g73 ) and not ( g19 or g38 )
g11    ( g6 or g20 or g36 or g47 or g56 or g69 or g91 ) and not ( g27 or g73 )
g12    ( g5 or g14 or g16 or g18 or g22 or g42 or g50 or g63 or g85 or g90 or g99 )
g13    ( g1 or g5 or g10 or g16 or g25 or g29 or g49 or g50 or g63 or g67 or g72 or g85 or g89 ) and not ( g96 )
g14    ( g51 or g60 or g63 or g66 or g77 or g80 or g95 ) and not ( g18 or g91 )
g15    ( g3 or g9 or g19 or g20 or g61 or g65 or g67 or g69 or g81 or g90 ) and not ( g53 )
g16    ( g4 or g12 or g22 or g44 or g51 or g54 or g85 ) and not ( g14 or g62 )
g17    ( g5 or g20 or g47 or g70 or g95 or g96 or g99 )
g18    ( g7 or g25 or g37 or g49 or g51 or g60 or g64 or g65 or g82 or g92 ) and not ( g61 )
g19    ( g8 or g13 or g23 )
g20    ( g8 or g29 or g47 or g53 or g54 ) and not ( g42 )
g21    ( g8 or g20 or g30 or g32 or g35 or g43 or g46 or g48 or g52 or g60 or g68 or g81 or g83 or g97 )
g22    ( g2 or g4 or g8 or g21 or g23 or g25 or g30 or g43 or g48 or g55 or g62 or g72 or g84 or g99 ) and not ( g83 )
g23    ( g6 or g10 or g34 or g78 or g80 or g84 or g94 ) and not ( g39 or g86 )
g24    ( g35 or g39 or g55 or g76 or g83 or g94 or g95 ) and not ( g18 or g46 or g48 )
g25    ( g22 or g31 or g39 or g59 or g60 or g68 or g69 or g74 or g80 or g87 or g93 ) and not ( g17 )
g26    ( g1 or g2 or g9 or g32 or g33 or g34 or g41 or g52 or g72 or g78 or g83 or g87 ) and not ( g39 or g48 )
g27    ( g10 or g23 or g24 or g31 or g37 or g46 or g50 or g56 or g64 or g67 or g82 or g84 or g85 or g86 or g88 or g92 ) and not ( g30 or g41 )
g28    ( g13 or g16 or g42 or g50 or g68 or g75 or g95 or g96 )
g29    ( g2 or g20 or g22 or g38 or g51 or g55 or g78 or g94 )
g30    ( g6 or g8 or g37 or g49 or g69 or g86 ) and not ( g78 or g92 )
g31    ( g3 or g16 or g17 or g23 or g33 or g52 or g68 ) and not ( g42 )
g32    ( g2 or g15 or g47 or g55 or g58 or g62 or g71 or g79 or g83 or g87 or g88 or g94 ) and not ( g91 )
g33    ( g1 or g12 or g18 or g23 or g53 ) and not ( g9 or g35 or g61 )
g34    ( g2 or g17 or g33 or g45 or g49 or g62 or g67 or g89 or g96 or g100 )
g35    ( g5 or g9 or g31 or g48 or g55 or g68 or g88 ) and not ( g41 or g92 )
g36    ( g1 or g18 or g22 or g23 or g25 or g29 or g42 or g53 or g72 or g95 )
g37    ( g4 or g7 or g26 or g33 or g34 or g44 or g46 or g56 or g57 or g78 or g88 ) and not ( g30 )
g38    ( g3 or g13 or g14 or g28 or g32 or g34 or g39 or g48 or g74 ) and not ( g25 or g55 )
g39    ( g18 or g19 or g42 or g48 or g50 or g63 or g76 or g77 or g82 or g96 or g97 )
g40    ( g24 or g42 or g51 or g67 or g72 or g83 or g87 or g97 or g99 or g100 )
g41    ( g1 or g9 or g11 or g57 or g60 or g61 or g69 or g83 or g88 or g98 )
g42    ( g24 or g34 or g43 or g47 or g68 or g77 ) and not ( g15 or g41 )
g43    ( g20 or g23 or g51 or g60 or g71 or g84 ) and not ( g99 )
