Gene1,Gene2,Type
g2,g1,+
g4,g1,-
g6,g1,+
g24,g1,-
g32,g1,+
g60,g1,+
g62,g1,+
g73,g1,+
g75,g1,+
g92,g1,+
g93,g1,+
g98,g1,+
g1,g2,+
g56,g2,+
g73,g2,+
g78,g2,+
g88,g2,+
g93,g2,-
g94,g2,+
g18,g3,+
g30,g3,+
g47,g3,+
g57,g3,+
g68,g3,+
g71,g3,+
g89,g3,-
g90,g3,+
g19,g4,+
g35,g4,-
g37,g4,+
g57,g4,+
g63,g4,+
g65,g4,+
g70,g4,+
g84,g4,-
g2,g5,+
g6,g5,-
g16,g5,+
g25,g5,+
g52,g5,+
g64,g5,+
g77,g5,+
g84,g5,+
g87,g5,+
g94,g5,+
g5,g6,+
g12,g6,+
g13,g6,+
g37,g6,+
g43,g6,-
g47,g6,+
g60,g6,+
g63,g6,+
g75,g6,+
g92,g6,+
g93,g6,+
g2,g7,+
g8,g7,+
g13,g7,+
g26,g7,+
g30,g7,+
g36,g7,+
g49,g7,+
g55,g7,+
g58,g7,+
g73,g7,+
g86,g7,+
g97,g7,-
g98,g7,+
g5,g8,+
g7,g8,+
g9,g8,+
g25,g8,+
g31,g8,-
g36,g8,+
g37,g8,+
g97,g8,+
g1,g9,+
g24,g9,+
g28,g9,+
g39,g9,+
g41,g9,+
g42,g9,+
g47,g9,+
g53,g9,+
g56,g9,+
g59,g9,+
g85,g9,+
g96,g9,+
g100,g9,+
g9,g10,+
g12,g10,-
g13,g10,+
g15,g10,+
g23,g10,+
g47,g10,+
g57,g10,+
g61,g10,+
g88,g10,+
g89,g10,+
g97,g10,+
g98,g10,+
g2,g11,+
g6,g11,+
g9,g11,+
g18,g11,-
g29,g11,+
g31,g11,+
g46,g11,+
g59,g11,+
g67,g11,+
g71,g11,+
g74,g11,+
g88,g11,+
g92,g11,-
g93,g11,+
g6,g12,+
g33,g12,-
g46,g12,+
g60,g12,+
g100,g12,+
g1,g13,+
g10,g13,+
g30,g13,+
g46,g13,+
g54,g13,+
g56,g13,+
g85,g13,+
g30,g14,+
g32,g14,+
g50,g14,+
g67,g14,-
g72,g14,+
g77,g14,+
g88,g14,+
g18,g15,+
g20,g15,+
g33,g15,+
g34,g15,+
g40,g15,+
g53,g15,+
g54,g15,+
g57,g15,+
g63,g15,+
g69,g15,+
g83,g15,+
g84,g15,+
g20,g16,+
g30,g16,+
g39,g16,+
g56,g16,+
g71,g16,+
g75,g16,+
g78,g16,+
g79,g16,-
g86,g16,+
g3,g17,+
g5,g17,+
g12,g17,+
g14,g17,+
g26,g17,+
g29,g17,+
g34,g17,+
g44,g17,-
g49,g17,+
g51,g17,+
g60,g17,+
g62,g17,+
g64,g17,-
g70,g17,+
g76,g17,+
g79,g17,+
g82,g17,+
g87,g17,+
g90,g17,+
g93,g17,+
g95,g17,+
g11,g18,+
g30,g18,+
g32,g18,+
g38,g18,+
g49,g18,+
g70,g18,+
g75,g18,+
g77,g18,+
g78,g18,-
g79,g18,+
g84,g18,+
g85,g18,+
g100,g18,-
g4,g19,+
g6,g19,+
g7,g19,+
g26,g19,+
g30,g19,-
g37,g19,-
g45,g19,+
g73,g19,+
g74,g19,+
g77,g19,+
g80,g19,-
g88,g19,+
g31,g20,+
g39,g20,+
g70,g20,+
g77,g20,+
g91,g20,+
g100,g20,-
g19,g21,+
g37,g21,-
g38,g21,+
g40,g21,+
g54,g21,+
g56,g21,+
