Gene1,Gene2,Type
g17,g1,+
g18,g1,+
g38,g1,+
g43,g1,+
g45,g1,-
g52,g1,+
g57,g1,+
g80,g1,-
g82,g1,+
g90,g1,+
g91,g1,+
g100,g1,+
g25,g2,+
g49,g2,+
g56,g2,+
g71,g2,+
g72,g2,+
g73,g2,+
g100,g2,+
g12,g3,+
g26,g3,+
g31,g3,+
g36,g3,+
g40,g3,+
g45,g3,+
g79,g3,+
g87,g3,+
g96,g3,+
g97,g3,+
g99,g3,+
g19,g4,-
g21,g4,+
g44,g4,+
g45,g4,+
g67,g4,+
g76,g4,+
g84,g4,+
g10,g5,+
g23,g5,+
g30,g5,+
g36,g5,-
g63,g5,+
g64,g5,+
g74,g5,+
g87,g5,+
g95,g5,+
g14,g6,+
g20,g6,+
g35,g6,+
g56,g6,+
g93,g6,-
g1,g7,+
g11,g7,+
g16,g7,+
g24,g7,-
g35,g7,+
g44,g7,+
g59,g7,+
g78,g7,+
g93,g7,+
g10,g8,+
g11,g8,+
g20,g8,+
g27,g8,+
g30,g8,-
g31,g8,+
g41,g8,-
g45,g8,+
g50,g8,+
g71,g8,+
g81,g8,-
g19,g9,-
g28,g9,+
g30,g9,+
g41,g9,+
g43,g9,+
g67,g9,+
g86,g9,+
g98,g9,+
g3,g10,+
g21,g10,+
g33,g10,+
g70,g10,+
g71,g10,+
g78,g10,-
g13,g11,-
g42,g11,+
g46,g11,+
g49,g11,+
g66,g11,+
g72,g11,+
g80,g11,+
g81,g11,+
g6,g12,+
g8,g12,+
g16,g12,+
g32,g12,+
g34,g12,+
g47,g12,+
g48,g12,-
g59,g12,+
g61,g12,+
g80,g12,+
g82,g12,+
g89,g12,+
g90,g12,+
g94,g12,+
g98,g12,+
g16,g13,+
g38,g13,+
g48,g13,+
g53,g13,+
g61,g13,+
g65,g13,+
g89,g13,+
g90,g13,+
g92,g13,+
g3,g14,+
g12,g14,+
g36,g14,+
g54,g14,-
g65,g14,+
g78,g14,+
g92,g14,+
g13,g15,+
g38,g15,-
g40,g15,+
g47,g15,+
g49,g15,-
g71,g15,+
g88,g15,+
g99,g15,+
g12,g16,+
g26,g16,+
g27,g16,+
g32,g16,+
g42,g16,-
g48,g16,+
g58,g16,+
g63,g16,+
g66,g16,+
g68,g16,+
g73,g16,+
g85,g16,+
g86,g16,+
g2,g17,-
g5,g17,+
g6,g17,+
g36,g17,+
g39,g17,+
g42,g17,+
g46,g17,+
g47,g17,+
g53,g17,+
g56,g17,+
g73,g17,+
g77,g17,+
g27,g18,-
g52,g18,+
g59,g18,+
g65,g18,-
g76,g18,+
g90,g18,+
g23,g19,+
g56,g19,+
g60,g19,+
g61,g19,+
g77,g19,+
g11,g20,+
g12,g20,+
g35,g20,+
g39,g20,+
g40,g20,+
g50,g20,+
g54,g20,+
g57,g20,+
g62,g20,+
g89,g20,+
g96,g20,+
g98,g20,+
g45,g21,+
g76,g21,+
g78,g21,+
g92,g21,+
g4,g22,+
g9,g22,+
g40,g22,+
g45,g22,+
g50,g22,+
g74,g22,+
g78,g22,+
g85,g22,+
g91,g22,+
g94,g22,+
g95,g22,+
g6,g23,+
g9,g23,+
g14,g23,+
g15,g23,+
g21,g23,+
g30,g23,-
g35,g23,+
g89,g23,+
g94,g23,+
g14,g24,+
g33,g24,+
g43,g24,-
g47,g24,+
g51,g24,+
g52,g24,+
g58,g24,+
g75,g24,+
g85,g24,+
g86,g24,+
g89,g24,-
g5,g25,+
g31,g25,+
g39,g25,+
g45,g25,+
g56,g25,+
g72,g25,+
g73,g25,+
g80,g25,+
g83,g25,-
g84,g25,+
g91,g25,-
g94,g25,+
g97,g25,-
g99,g25,+
g9,g26,-
g20,g26,+
g22,g26,-
g40,g26,+
g58,g26,+
g59,g26,+
g70,g26,-
g77,g26,+
g81,g26,+
g99,g26,+
g19,g27,-
g31,g27,+
g36,g27,+
g47,g27,+
g49,g27,-
g52,g27,+
g66,g27,+
g67,g27,+
g70,g27,+
g71,g27,+
g92,g27,+
g94,g27,+
g2,g28,+
g22,g28,+
g67,g28,+
g79,g28,+
g82,g28,+
g86,g28,+
g98,g28,+
g22,g29,+
g25,g29,+
g51,g29,+
g52,g29,+
g56,g29,+
g65,g29,+
g72,g29,+
g83,g29,+
g97,g29,+
g7,g30,-
g32,g30,+
g40,g30,+
g43,g30,+
g77,g30,+
g79,g30,+
g90,g30,+
g92,g30,+
g10,g31,+
g15,g31,+
g29,g31,-
g51,g31,+
g53,g31,+
g55,g31,-
g57,g31,+
g70,g31,-
g10,g32,+
g24,g32,+
g34,g32,-
g39,g32,+
g63,g32,+
g93,g32,+
g96,g32,+
g13,g33,+
g25,g33,+
g42,g33,+
g69,g33,+
g77,g33,+
g2,g34,+
g9,g34,+
g20,g34,+
g30,g34,-
g41,g34,+
g45,g34,+
g50,g34,+
g52,g34,+
g65,g34,+
g86,g34,+
g20,g35,-
g22,g35,+
g26,g35,+
g69,g35,+
g92,g35,+
g99,g35,+
g5,g36,+
g6,g36,+
g11,g36,+
g17,g36,+
g20,g36,+
g29,g36,+
g44,g36,+
g58,g36,-
g85,g36,+
g93,g36,+
g4,g37,+
g10,g37,+
g12,g37,+
g20,g37,+
g24,g37,+
g29,g37,+
g40,g37,+
g43,g37,+
g65,g37,+
g70,g37,+
g72,g37,+
g77,g37,+
g79,g37,+
g85,g37,+
g1,g38,+
g3,g38,+
g4,g38,+
g5,g38,+
g8,g38,+
g9,g38,+
g10,g38,+
g18,g38,+
g37,g38,+
g40,g38,+
g46,g38,+
g57,g38,+
g63,g38,+
g64,g38,-
g67,g38,+
g94,g38,+
g99,g38,+
g12,g39,+
g38,g39,+
g46,g39,+
g49,g39,+
g51,g39,+
g59,g39,+
g73,g39,+
g97,g39,+
g98,g39,+
g10,g40,+
g12,g40,+
g22,g40,+
g33,g40,-
g36,g40,-
g38,g40,+
g52,g40,+
g56,g40,+
g62,g40,+
g71,g40,-
g78,g40,+
g95,g40,+
g96,g40,+
g99,g40,+
g35,g41,+
g43,g41,+
g81,g41,-
g92,g41,-
g93,g41,+
g96,g41,-
g98,g41,+
g100,g41,+
g17,g42,+
g21,g42,+
g28,g42,-
g45,g42,+
g70,g42,+
g71,g42,+
g80,g42,+
g87,g42,+
g17,g43,+
g53,g43,+
g59,g43,+
g66,g43,+
g78,g43,+
g87,g43,+
g89,g43,+
g100,g43,+
g24,g44,+
g27,g44,+
g37,g44,+
g39,g44,+
g42,g44,+
g49,g44,+
g54,g44,+
g55,g44,+
g64,g44,+
g100,g44,+
g18,g45,+
g33,g45,+
g47,g45,+
g51,g45,+
g55,g45,-
g60,g45,+
g75,g45,+
g77,g45,+
g97,g45,+
g99,g45,+
g14,g46,-
g19,g46,+
g29,g46,+
g30,g46,+
g37,g46,+
g45,g46,+
g62,g46,+
g70,g46,+
g81,g46,+
g6,g47,+
g14,g47,+
g15,g47,+
g27,g47,+
g28,g47,+
g30,g47,+
g35,g47,+
g53,g47,+
g69,g47,+
g79,g47,+
g82,g47,-
g88,g47,+
g93,g47,+
g100,g47,-
g1,g48,+
g14,g48,+
g25,g48,+
g29,g48,+
g37,g48,+
g54,g48,+
g58,g48,+
g90,g48,+
g33,g49,+
g88,g49,+
g6,g50,+
g14,g50,+
g22,g50,+
g26,g50,-
g42,g50,+
g48,g50,+
g58,g50,-
g65,g50,+
g68,g50,+
g69,g50,+
g71,g50,+
g84,g50,+
g93,g50,+
g99,g50,+
g35,g51,+
g40,g51,+
g43,g51,+
g49,g51,+
g54,g51,+
g65,g51,+
g86,g51,+
g92,g51,+
g8,g52,-
g21,g52,-
g23,g52,+
g29,g52,+
g42,g52,+
g44,g52,+
g57,g52,+
g59,g52,+
g96,g52,+
g18,g53,-
g43,g53,+
g72,g53,+
g74,g53,+
g8,g54,+
g11,g54,+
g31,g54,+
g33,g54,-
g35,g54,+
g38,g54,+
g45,g54,+
g46,g54,+
g47,g54,+
g71,g54,+
g95,g54,+
g97,g54,+
g1,g55,+
g8,g55,+
g27,g55,+
g47,g55,+
g65,g55,+
g82,g55,+
g93,g55,+
g22,g56,+
g32,g56,+
g38,g56,+
g48,g56,+
g53,g56,+
g64,g56,+
g66,g56,-
g83,g56,+
g90,g56,+
g93,g56,+
g100,g56,+
g9,g57,-
g15,g57,+
g41,g57,+
g47,g57,+
g52,g57,+
g58,g57,+
g4,g58,+
g8,g58,-
g11,g58,+
g14,g58,-
g29,g58,+
g31,g58,+
g37,g58,+
g40,g58,-
g51,g58,+
g59,g58,-
g72,g58,+
g89,g58,-
g91,g58,+
g95,g58,+
g97,g58,+
g2,g59,+
g3,g59,+
g14,g59,+
g16,g59,+
g32,g59,+
g35,g59,+
g45,g59,+
g48,g59,+
g49,g59,+
g51,g59,+
g65,g59,+
g78,g59,+
g83,g59,+
g89,g59,+
g98,g59,+
g54,g60,+
g66,g60,+
g77,g60,+
g82,g60,-
g89,g60,+
g4,g61,+
g6,g61,+
g9,g61,+
g17,g61,+
g27,g61,+
g34,g61,+
g42,g61,-
g50,g61,+
g69,g61,+
g77,g61,+
g1,g62,-
g8,g62,+
g12,g62,+
g32,g62,+
g51,g62,+
g73,g62,+
g86,g62,+
g99,g62,+
g16,g63,+
g19,g63,+
g31,g63,-
g32,g63,+
g55,g63,+
g56,g63,+
g79,g63,+
g83,g63,+
g87,g63,+
g96,g63,-
g100,g63,+
g6,g64,+
g10,g64,+
g16,g64,+
g17,g64,+
g33,g64,+
g40,g64,+
g41,g64,+
g61,g64,+
g63,g64,+
g67,g64,+
g68,g64,+
g72,g64,+
g78,g64,+
g84,g64,-
g85,g64,+
g7,g65,+
g15,g65,+
g60,g65,+
g62,g65,+
g81,g65,+
g12,g66,+
g34,g66,+
g36,g66,+
g46,g66,+
g61,g66,+
g82,g66,+
g86,g66,+
g88,g66,+
g1,g67,+
g3,g67,+
g9,g67,+
g12,g67,+
g25,g67,+
g43,g67,+
g55,g67,+
g68,g67,-
g70,g67,+
g99,g67,+
g6,g68,+
g11,g68,+
g19,g68,+
g21,g68,+
g22,g68,-
g35,g68,+
g39,g68,+
g47,g68,+
g54,g68,+
g65,g68,+
g70,g68,+
g73,g68,+
g80,g68,+
g81,g68,+
g82,g68,+
g86,g68,+
g98,g68,+
g12,g69,+
g13,g69,-
g16,g69,+
g20,g69,+
g24,g69,-
g26,g69,+
g36,g69,+
g49,g69,+
g60,g69,+
g78,g69,+
g3,g70,+
g7,g70,+
g10,g70,+
g42,g70,+
g68,g70,+
g77,g70,+
g86,g70,+
g87,g70,+
g90,g70,+
g99,g70,+
g14,g71,+
g19,g71,+
g20,g71,+
g25,g71,+
g27,g71,+
g38,g71,+
g76,g71,+
g83,g71,+
g85,g71,+
g89,g71,+
g99,g71,-
g4,g72,+
g6,g72,-
g9,g72,+
g68,g72,+
g80,g72,+
g89,g72,+
g96,g72,+
g1,g73,+
g5,g73,+
g10,g73,+
g17,g73,+
g19,g73,+
g21,g73,-
g36,g73,+
g48,g73,+
g49,g73,+
g64,g73,+
g71,g73,+
g76,g73,+
g78,g73,+
g87,g73,+
g97,g73,+
g3,g74,+
g17,g74,+
g21,g74,+
g22,g74,+
g34,g74,+
g49,g74,+
g85,g74,+
g86,g74,+
g13,g75,+
g32,g75,+
g40,g75,+
g65,g75,-
g67,g75,+
g73,g75,+
g78,g75,+
g79,g75,+
g84,g75,+
g5,g76,+
g48,g76,+
g78,g76,+
g88,g76,+
g92,g76,+
g13,g77,+
g16,g77,+
g23,g77,+
g50,g77,+
g51,g77,+
g56,g77,+
g76,g77,+
g86,g77,+
g90,g77,+
g36,g78,+
g37,g78,+
g38,g78,+
g42,g78,+
g45,g78,+
g47,g78,+
g58,g78,+
g70,g78,+
g87,g78,+
g88,g78,+
g92,g78,+
g10,g79,+
g14,g79,+
g22,g79,+
g47,g79,+
g54,g79,+
g68,g79,+
g92,g79,+
g29,g80,+
g52,g80,+
g55,g80,+
g56,g80,+
g66,g80,+
g69,g80,+
g84,g80,-
g86,g80,+
g91,g80,+
g2,g81,-
g4,g81,+
g67,g81,+
g77,g81,+
